Group,color,dots,Date Day 0,Generation,Name,PG_avg,Biol_Reps,Day_N,Set,GI_R1,PG_DayN_R1,PG_DayNStD_R1,GI_R2,PG_D5_R2,PG_D5StD_R2,GI_R3,PG_D5_R3,PG_D5StD_R3,Total Seed,AR,ABA,Stdev btwn biol reps,Primer6,P20,P34,MKK3,P29
Zak-g,G,B,2.02.2015,BC3F3,5.2.33,28.33333333,2,5,1-300 5.2 set 1,0.173333333,36.66666667,5.773502692,0.073333333,20,10,-,-,-,-,-,2,11.78511302,A,A,A,A,A
Zak-g,G,B,2.02.2015,BC3F3,5.2.36,60,2,5,1-300 5.2 set 1,0.253333333,53.33333333,15.27525232,0.38,66.66666667,15.27525232,-,-,-,-,-,2,9.428090416,A,A,A,A,A
Zak-g,G,B,2.02.2015,BC3F3,5.2.43,65,2,5,1-300 5.2 set 1,0.273333333,60,10,0.273333333,70,0,-,-,-,-,-,2,7.071067812,A,A,A,A,A
Zak-g,G,B,2.02.2015,BC3F3,5.2.44,72.5,2,5,1-300 5.2 set 1,0.366666667,66.66666667,11.54700538,0.328333333,78.33333333,10.40833,-,-,-,-,-,2,8.249579114,A,A,A,A,A
Zak-g,G,B,2.02.2015,BC3F3,5.2.68,75,2,5,1-300 5.2 set 1,0.406666667,70,17.32050808,0.346666667,80,17.32050808,-,-,-,-,-,2,7.071067812,A,A,A,A,A
Zak-g,G,B,2.02.2015,BC3F3,5.2.101,80,2,5,1-300 5.2 set 2,0.406666667,76.66666667,25.16611478,0.373333333,83.33333333,5.773502692,-,-,-,-,-,2,9.428090416,A,A,A,A,A
Zak-g,G,B,2.02.2015,BC3F3,5.2.128,66.66666667,2,5,1-300 5.2 set 2,0.333333333,73.33333333,11.54700538,0.34,60,0,-,-,-,-,-,2,9.428090416,A,A,-,A,A
Zak-g,G,B,2.02.2015,BC3F3,5.2.131,55,2,5,1-300 5.2 set 2,0.266666667,50,17.32050808,0.286666667,60,17.32050808,-,-,-,-,-,2,7.071067812,A,A,-,A,A
Zak-g,G,B,2.02.2015,BC3F3,5.2.144,78.33333333,2,5,1-300 5.2 set 2,0.506666667,86.66666667,5.773502692,0.44,70,10,-,-,-,-,-,2,11.78511302,A,A,-,A,A
Zak-g,G,B,2.02.2015,BC3F3,5.2.148,26.66666667,2,5,1-300 5.2 set 2,0.126666667,33.33333333,25.16611478,0.066666667,20,17.32050808,-,-,-,-,-,2,9.428090416,A,A,-,A,A
